Date,Close/Last,Volume,Open,High,Low
02/03/2021,$135.305,24540928,$136.36,$139.3175,$135.165
02/02/2021,$135.5675,22043828,$133.9875,$135.72,$132.855
02/01/2021,$132.37,21720432,$130.5335,$132.7075,$129.0275
01/29/2021,$129.8975,27155204,$130.75,$133.3475,$129.1151
01/28/2021,$130.51,22831596,$129.9625,$133.3975,$129.605
01/27/2021,$129.1775,37127284,$132.3,$132.3275,$127.9375
01/26/2021,$134.3525,16398040,$135.8045,$136.4475,$133.875
01/25/2021,$136.5325,25111116,$137.8175,$138.285,$132.3648
01/22/2021,$137.125,24681856,$137.4009,$138.4173,$136.2725
01/21/2021,$138.675,33833960,$134.186,$139.9936,$132.53
01/20/2021,$133.6575,25857088,$131.1175,$134.305,$130.5675
01/19/2021,$130.2525,22618688,$130.1625,$130.9398,$128.44
01/15/2021,$128.595,27778128,$132.28,$133.2525,$128.485
01/14/2021,$132.0025,28312028,$135.75,$135.9975,$131.805
01/13/2021,$135.3175,21002844,$134.8997,$136.25,$133.85
01/12/2021,$134.8475,29147772,$137.525,$137.545,$133.45
01/11/2021,$136.215,51902880,$134.1875,$139.61,$133.625
01/08/2021,$132.7675,29252860,$133.625,$134.21,$130.42
01/07/2021,$133.44,46148160,$129.675,$133.7775,$128.865
01/06/2021,$126.145,58042320,$132.225,$132.45,$125.86
01/05/2021,$134.0475,32275992,$130.9975,$134.435,$130.87
01/04/2021,$131.135,56064200,$131.0425,$136.525,$129.625
12/31/2020,$130.55,19242440,$131.365,$131.5112,$129.15
12/30/2020,$131.4575,22539716,$129.903,$132.1375,$128.9675
12/29/2020,$129.4325,17037216,$129.25,$130.725,$128.4225
12/28/2020,$129,21256564,$130.625,$130.625,$127.6318
12/24/2020,$129.9375,9788352,$130.3725,$131.325,$129.3875
12/23/2020,$130.0925,17914276,$132.56,$132.75,$130.05
12/22/2020,$132.7825,18631488,$133.1925,$133.3725,$130.5388
12/21/2020,$133.3225,30233216,$130.7475,$133.7,$129.675
12/18/2020,$132.72,34206464,$133.79,$134.05,$130.705
12/17/2020,$133.4125,23138388,$133.6675,$133.795,$131.785
12/16/2020,$132.425,22311468,$134.225,$134.3725,$132.125
12/15/2020,$133.605,19348592,$134.3975,$134.64,$131.8675
12/14/2020,$133.0875,27015788,$130.8788,$133.8875,$130.775
12/11/2020,$130.1325,20926564,$129.6725,$130.2,$128.23
12/10/2020,$129.7225,20776472,$128.69,$130.6875,$128.4938
12/09/2020,$129.3075,40130120,$133.005,$134.14,$128.6824
12/08/2020,$133.5,27192088,$135.85,$135.9875,$132.815
12/07/2020,$136.0675,22324324,$136.0125,$137.3125,$135
12/04/2020,$135.5825,20224340,$134.485,$135.6,$133.8869
12/03/2020,$133.96,19952064,$135.875,$136.6,$133.29
12/02/2020,$135.445,28336120,$133.505,$136.7344,$132.3425
12/01/2020,$133.9,29757128,$134.9225,$135.2875,$132.2825
11/30/2020,$134.015,28695200,$132.65,$134.125,$129.7235
11/27/2020,$132.6125,16727520,$133.75,$134.075,$131.7055
11/25/2020,$132.3475,25991640,$130.325,$132.6939,$130.2
11/24/2020,$129.5775,34649996,$131.425,$131.62,$128.85
11/23/2020,$131.4,36135420,$131.7113,$133.825,$130.155
11/20/2020,$130.8775,34108980,$134.54,$134.945,$130.65
11/19/2020,$134.4025,56593440,$132.1275,$134.875,$131
11/18/2020,$134.2875,51092520,$134.6525,$136.0575,$131.85
11/17/2020,$134.2225,31202796,$135.525,$135.9625,$133.0387
11/16/2020,$135.1525,41377480,$131.725,$136.495,$131.56
11/13/2020,$132.97,34676232,$136.2728,$136.6875,$130.5925
11/12/2020,$134.5675,36663500,$134.7893,$137.66,$133.16
11/11/2020,$134.18,40474360,$130.5375,$134.3488,$129.4825
11/10/2020,$127.7,64406720,$136.065,$136.065,$126.2825
11/09/2020,$136.3075,58297800,$145.525,$146.915,$136.1075
11/06/2020,$145.62,38334928,$141.0975,$145.8875,$138.95
11/05/2020,$141.6,31902832,$141.625,$143.39,$139.91
11/04/2020,$137.9425,41022920,$133.8925,$138.275,$133.3688
11/03/2020,$130.195,27290108,$127.085,$131.05,$126.0275
11/02/2020,$125.8075,29965264,$126.5775,$128.3666,$123.95
10/30/2020,$125.34,41739600,$128.5,$129.3638,$123
10/29/2020,$130.24,32008184,$128.385,$131.9275,$127.5
10/28/2020,$126.27,37651808,$131.98,$132.6,$126.09
10/27/2020,$133.9675,25051968,$133.06,$134.42,$131.915
10/26/2020,$131.4125,33689432,$134.27,$136.9279,$130.385
10/23/2020,$135.9025,23348428,$134.5,$135.9325,$132.9125
10/22/2020,$133.61,29047944,$135.225,$136.1175,$132.3175
10/21/2020,$135.2475,21959732,$136.25,$137.915,$134.775
10/20/2020,$136.455,22921204,$135.835,$137.9975,$135.07
10/19/2020,$134.9775,29806856,$139.0288,$139.835,$134.0675
10/16/2020,$138.115,24263960,$140.3675,$141.215,$137.925
10/15/2020,$139.7,26722512,$138.1068,$140.0575,$137.6775
10/14/2020,$140.9525,27664712,$142.905,$143.4275,$139.6
10/13/2020,$142.4825,34460312,$142.965,$143.485,$140.1863
10/12/2020,$142.26,43474400,$139.895,$143.47,$139.125
10/09/2020,$137.6275,34689092,$137.67,$138.2425,$136.6075
10/08/2020,$138.3875,37890088,$140.75,$140.845,$137.58
10/07/2020,$139.64,41808520,$139.9975,$141.1925,$138.635
10/06/2020,$137.365,78442000,$138.3,$141.42,$136.65
10/05/2020,$136.425,47981840,$132.36,$136.4425,$132.2277
10/02/2020,$130.6225,55249600,$132.25,$135.195,$130.51
10/01/2020,$136.145,52500240,$137.58,$137.6274,$134.6075
09/30/2020,$135.305,68918400,$131.575,$136.225,$131.5025
09/29/2020,$132.2575,62300480,$129.375,$134.4275,$129.3325
09/28/2020,$130.35,57380920,$130.4025,$130.5175,$127.5
09/25/2020,$128.7375,58801640,$124.475,$128.835,$122.4575
09/24/2020,$123.48,73124040,$120.7225,$125.695,$120.14
09/23/2020,$121.2375,64701240,$125.755,$127.27,$120.7925
09/22/2020,$126.3775,64645200,$125.75,$126.48,$121.5555
09/21/2020,$125.1725,72104240,$119.25,$125.225,$119.045
09/18/2020,$121.8925,69846200,$125.9375,$126.325,$119.8875
09/17/2020,$124.635,79251160,$121.3223,$125.8975,$120.3475
09/16/2020,$125.145,55759960,$129.5725,$130.9275,$125.1375
09/15/2020,$129.91,72755640,$132.8,$132.9875,$128.2775
09/14/2020,$128.7225,120174480,$130.81,$133.15,$126.3114
